# Pixel positions of the trace in the spatial direction, Width of the trace
7.900601255577534232e+01,1.028772292665654842e+00
7.900626649027789483e+01,1.028772292665654842e+00
7.900651481187544789e+01,1.028772292665654842e+00
7.900675751943067837e+01,1.028772292665654842e+00
7.900699461180620631e+01,1.028772292665654842e+00
7.900722608786468015e+01,1.028772292665654842e+00
7.900745194646876257e+01,1.028772292665654842e+00
7.900767218648107360e+01,1.028772292665654842e+00
7.900788680676427589e+01,1.028772292665654842e+00
7.900809580618100370e+01,1.028772292665654842e+00
7.900829918359389126e+01,1.028772292665654842e+00
7.900849693786560124e+01,1.028772292665654842e+00
7.900868906785878210e+01,1.028772292665654842e+00
7.900887557243605386e+01,1.028772292665654842e+00
7.900905645046007919e+01,1.028772292665654842e+00
7.900923170079349234e+01,1.028772292665654842e+00
7.900940132229895596e+01,1.028772292665654842e+00
7.900956531383909009e+01,1.028772292665654842e+00
7.900972367427654319e+01,1.028772292665654842e+00
7.900987640247397792e+01,1.028772292665654842e+00
7.901002349729402852e+01,1.028772292665654842e+00
7.901016495759932923e+01,1.028772292665654842e+00
7.901030078225252851e+01,1.028772292665654842e+00
7.901043097011627481e+01,1.028772292665654842e+00
7.901055552005321658e+01,1.028772292665654842e+00
7.901067443092598808e+01,1.028772292665654842e+00
7.901078770159725195e+01,1.028772292665654842e+00
7.901089533092962824e+01,1.028772292665654842e+00
7.901099731778576540e+01,1.028772292665654842e+00
7.901109366102832610e+01,1.028772292665654842e+00
7.901118435951993035e+01,1.028772292665654842e+00
7.901126941212324084e+01,1.028772292665654842e+00
7.901134881770090601e+01,1.028772292665654842e+00
7.901142257511554590e+01,1.028772292665654842e+00
7.901149068322982316e+01,1.028772292665654842e+00
7.901155314090638626e+01,1.028772292665654842e+00
7.901160994700785523e+01,1.028772292665654842e+00
7.901166110039689272e+01,1.028772292665654842e+00
7.901170659993614720e+01,1.028772292665654842e+00
7.901174644448825291e+01,1.028772292665654842e+00
7.901178063291584408e+01,1.028772292665654842e+00
7.901180916408159760e+01,1.028772292665654842e+00
7.901183203684811929e+01,1.028772292665654842e+00
7.901184925007808602e+01,1.028772292665654842e+00
7.901186080263411782e+01,1.028772292665654842e+00
7.901186669337886315e+01,1.028772292665654842e+00
7.901186692117498467e+01,1.028772292665654842e+00
7.901186148488511662e+01,1.028772292665654842e+00
7.901185038337187905e+01,1.028772292665654842e+00
7.901183361549796302e+01,1.028772292665654842e+00
7.901181118012597437e+01,1.028772292665654842e+00
7.901178307611856155e+01,1.028772292665654842e+00
7.901174930233838722e+01,1.028772292665654842e+00
7.901170985764808563e+01,1.028772292665654842e+00
7.901166474091029102e+01,1.028772292665654842e+00
7.901161395098766604e+01,1.028772292665654842e+00
7.901155748674284496e+01,1.028772292665654842e+00
7.901149534703847621e+01,1.028772292665654842e+00
7.901142753073720826e+01,1.028772292665654842e+00
7.901135403670166113e+01,1.028772292665654842e+00
7.901127486379451170e+01,1.028772292665654842e+00
7.901119001087838001e+01,1.028772292665654842e+00
7.901109947681591450e+01,1.028772292665654842e+00
7.901100326046976363e+01,1.028772292665654842e+00
7.901090136070257586e+01,1.028772292665654842e+00
7.901079377637699963e+01,1.028772292665654842e+00
7.901068050635566919e+01,1.028772292665654842e+00
7.901056154950121879e+01,1.028772292665654842e+00
7.901043690467631109e+01,1.028772292665654842e+00
7.901030657074358032e+01,1.028772292665654842e+00
7.901017054656567495e+01,1.028772292665654842e+00
7.901002883100524343e+01,1.028772292665654842e+00
7.900988142292492000e+01,1.028772292665654842e+00
7.900972832118735312e+01,1.028772292665654842e+00
7.900956952465517702e+01,1.028772292665654842e+00
7.900940503219105437e+01,1.028772292665654842e+00
7.900923484265763364e+01,1.028772292665654842e+00
7.900905895491753483e+01,1.028772292665654842e+00
7.900887736783340642e+01,1.028772292665654842e+00
7.900869008026791107e+01,1.028772292665654842e+00
7.900849709108368302e+01,1.028772292665654842e+00
7.900829839914335651e+01,1.028772292665654842e+00
7.900809400330959420e+01,1.028772292665654842e+00
7.900788390244503034e+01,1.028772292665654842e+00
7.900766809541229918e+01,1.028772292665654842e+00
7.900744658107406337e+01,1.028772292665654842e+00
7.900721935829295717e+01,1.028772292665654842e+00
7.900698642593162901e+01,1.028772292665654842e+00
7.900674778285271316e+01,1.028772292665654842e+00
7.900650342791887226e+01,1.028772292665654842e+00
7.900625335999274057e+01,1.028772292665654842e+00
7.900599757793695233e+01,1.028772292665654842e+00
7.900573608061415598e+01,1.028772292665654842e+00
7.900546886688701420e+01,1.028772292665654842e+00
7.900519593561814702e+01,1.028772292665654842e+00
7.900491728567021710e+01,1.028772292665654842e+00
7.900463291590585868e+01,1.028772292665654842e+00
7.900434282518772022e+01,1.028772292665654842e+00
7.900404701237845018e+01,1.028772292665654842e+00
7.900374547634066857e+01,1.028772292665654842e+00
7.900343821593705229e+01,1.028772292665654842e+00
7.900312523003022136e+01,1.028772292665654842e+00
7.900280651748283844e+01,1.028772292665654842e+00
7.900248207715752358e+01,1.028772292665654842e+00
7.900215190791695363e+01,1.028772292665654842e+00
7.900181600862374864e+01,1.028772292665654842e+00
7.900147437814055706e+01,1.028772292665654842e+00
7.900112701533002735e+01,1.028772292665654842e+00
7.900077391905479374e+01,1.028772292665654842e+00
7.900041508817751890e+01,1.028772292665654842e+00
7.900005052156083707e+01,1.028772292665654842e+00
7.899968021806738250e+01,1.028772292665654842e+00
7.899930417655981785e+01,1.028772292665654842e+00
7.899892239590077736e+01,1.028772292665654842e+00
7.899853487495289528e+01,1.028772292665654842e+00
7.899814161257884848e+01,1.028772292665654842e+00
7.899774260764124278e+01,1.028772292665654842e+00
7.899733785900274086e+01,1.028772292665654842e+00
7.899692736552599115e+01,1.028772292665654842e+00
7.899651112607362791e+01,1.028772292665654842e+00
7.899608913950829958e+01,1.028772292665654842e+00
7.899566140469265463e+01,1.028772292665654842e+00
7.899522792048932729e+01,1.028772292665654842e+00
7.899478868576096602e+01,1.028772292665654842e+00
7.899434369937021927e+01,1.028772292665654842e+00
7.899389296017972129e+01,1.028772292665654842e+00
7.899343646705213473e+01,1.028772292665654842e+00
7.899297421885007964e+01,1.028772292665654842e+00
7.899250621443623288e+01,1.028772292665654842e+00
7.899203245267320028e+01,1.028772292665654842e+00
7.899155293242364451e+01,1.028772292665654842e+00
7.899106765255022822e+01,1.028772292665654842e+00
7.899057661191555724e+01,1.028772292665654842e+00
7.899007980938230844e+01,1.028772292665654842e+00
7.898957724381310186e+01,1.028772292665654842e+00
7.898906891407060016e+01,1.028772292665654842e+00
7.898855481901743758e+01,1.028772292665654842e+00
7.898803495751626258e+01,1.028772292665654842e+00
7.898750932842972361e+01,1.028772292665654842e+00
7.898697793062045491e+01,1.028772292665654842e+00
7.898644076295110494e+01,1.028772292665654842e+00
7.898589782428432216e+01,1.028772292665654842e+00
7.898534911348274079e+01,1.028772292665654842e+00
7.898479462940900930e+01,1.028772292665654842e+00
7.898423437092577615e+01,1.028772292665654842e+00
7.898366833689568978e+01,1.028772292665654842e+00
7.898309652618138443e+01,1.028772292665654842e+00
7.898251893764549436e+01,1.028772292665654842e+00
7.898193557015069644e+01,1.028772292665654842e+00
7.898134642255959648e+01,1.028772292665654842e+00
7.898075149373487136e+01,1.028772292665654842e+00
7.898015078253914112e+01,1.028772292665654842e+00
7.897954428783506842e+01,1.028772292665654842e+00
7.897893200848528750e+01,1.028772292665654842e+00
7.897831394335244681e+01,1.028772292665654842e+00
7.897769009129918061e+01,1.028772292665654842e+00
7.897706045118815155e+01,1.028772292665654842e+00
7.897642502188197966e+01,1.028772292665654842e+00
7.897578380224334182e+01,1.028772292665654842e+00
7.897513679113484386e+01,1.028772292665654842e+00
7.897448398741916264e+01,1.028772292665654842e+00
7.897382538995891821e+01,1.028772292665654842e+00
7.897316099761677322e+01,1.028772292665654842e+00
7.897249080925534770e+01,1.028772292665654842e+00
7.897181482373731853e+01,1.028772292665654842e+00
7.897113303992530575e+01,1.028772292665654842e+00
7.897044545668197202e+01,1.028772292665654842e+00
7.896975207286993736e+01,1.028772292665654842e+00
7.896905288735186446e+01,1.028772292665654842e+00
7.896834789899040175e+01,1.028772292665654842e+00
7.896763710664816927e+01,1.028772292665654842e+00
7.896692050918784389e+01,1.028772292665654842e+00
7.896619810547203144e+01,1.028772292665654842e+00
7.896546989436340880e+01,1.028772292665654842e+00
7.896473587472461020e+01,1.028772292665654842e+00
7.896399604541826989e+01,1.028772292665654842e+00
7.896325040530705053e+01,1.028772292665654842e+00
7.896249895325357215e+01,1.028772292665654842e+00
7.896174168812049743e+01,1.028772292665654842e+00
7.896097860877047481e+01,1.028772292665654842e+00
7.896020971406613853e+01,1.028772292665654842e+00
7.895943500287012284e+01,1.028772292665654842e+00
7.895865447404509041e+01,1.028772292665654842e+00
7.895786812645367547e+01,1.028772292665654842e+00
7.895707595895852648e+01,1.028772292665654842e+00
7.895627797042227769e+01,1.028772292665654842e+00
7.895547415970759175e+01,1.028772292665654842e+00
7.895466452567710292e+01,1.028772292665654842e+00
7.895384906719344542e+01,1.028772292665654842e+00
7.895302778311928193e+01,1.028772292665654842e+00
7.895220067231724670e+01,1.028772292665654842e+00
7.895136773364997396e+01,1.028772292665654842e+00
7.895052896598012637e+01,1.028772292665654842e+00
7.894968436817035240e+01,1.028772292665654842e+00
7.894883393908327207e+01,1.028772292665654842e+00
7.894797767758154805e+01,1.028772292665654842e+00
7.894711558252781458e+01,1.028772292665654842e+00
7.894624765278472012e+01,1.028772292665654842e+00
7.894537388721491311e+01,1.028772292665654842e+00
7.894449428468102781e+01,1.028772292665654842e+00
7.894360884404571266e+01,1.028772292665654842e+00
7.894271756417161612e+01,1.028772292665654842e+00
7.894182044392138664e+01,1.028772292665654842e+00
7.894091748215765847e+01,1.028772292665654842e+00
7.894000867774306585e+01,1.028772292665654842e+00
7.893909402954027144e+01,1.028772292665654842e+00
7.893817353641192369e+01,1.028772292665654842e+00
7.893724719722065686e+01,1.028772292665654842e+00
7.893631501082910518e+01,1.028772292665654842e+00
7.893537697609993131e+01,1.028772292665654842e+00
7.893443309189575530e+01,1.028772292665654842e+00
7.893348335707925401e+01,1.028772292665654842e+00
7.893252777051304747e+01,1.028772292665654842e+00
7.893156633105978415e+01,1.028772292665654842e+00
7.893059903758212670e+01,1.028772292665654842e+00
7.892962588894268094e+01,1.028772292665654842e+00
7.892864688400413797e+01,1.028772292665654842e+00
7.892766202162910361e+01,1.028772292665654842e+00
7.892667130068024051e+01,1.028772292665654842e+00
7.892567472002018292e+01,1.028772292665654842e+00
7.892467227851159350e+01,1.028772292665654842e+00
7.892366397501709230e+01,1.028772292665654842e+00
7.892264980839934196e+01,1.028772292665654842e+00
7.892162977752097675e+01,1.028772292665654842e+00
7.892060388124464509e+01,1.028772292665654842e+00
7.891957211843298126e+01,1.028772292665654842e+00
7.891853448794864789e+01,1.028772292665654842e+00
7.891749098865427925e+01,1.028772292665654842e+00
7.891644161941252378e+01,1.028772292665654842e+00
7.891538637908601572e+01,1.028772292665654842e+00
7.891432526653740354e+01,1.028772292665654842e+00
7.891325828062933567e+01,1.028772292665654842e+00
7.891218542022446059e+01,1.028772292665654842e+00
7.891110668418541252e+01,1.028772292665654842e+00
7.891002207137483992e+01,1.028772292665654842e+00
7.890893158065537705e+01,1.028772292665654842e+00
7.890783521088968655e+01,1.028772292665654842e+00
7.890673296094040268e+01,1.028772292665654842e+00
7.890562482967017388e+01,1.028772292665654842e+00
7.890451081594163441e+01,1.028772292665654842e+00
7.890339091861743270e+01,1.028772292665654842e+00
7.890226513656021723e+01,1.028772292665654842e+00
7.890113346863263644e+01,1.028772292665654842e+00
7.889999591369731036e+01,1.028772292665654842e+00
7.889885247061691587e+01,1.028772292665654842e+00
7.889770313825408721e+01,1.028772292665654842e+00
7.889654791547145862e+01,1.028772292665654842e+00
7.889538680113167857e+01,1.028772292665654842e+00
7.889421979409738128e+01,1.028772292665654842e+00
7.889304689323122943e+01,1.028772292665654842e+00
7.889186809739587147e+01,1.028772292665654842e+00
7.889068340545392743e+01,1.028772292665654842e+00
7.888949281626805998e+01,1.028772292665654842e+00
7.888829632870090336e+01,1.028772292665654842e+00
7.888709394161510602e+01,1.028772292665654842e+00
7.888588565387330220e+01,1.028772292665654842e+00
7.888467146433815458e+01,1.028772292665654842e+00
7.888345137187229739e+01,1.028772292665654842e+00
7.888222537533837908e+01,1.028772292665654842e+00
7.888099347359904812e+01,1.028772292665654842e+00
7.887975566551692452e+01,1.028772292665654842e+00
7.887851194995468518e+01,1.028772292665654842e+00
7.887726232577495011e+01,1.028772292665654842e+00
7.887600679184036778e+01,1.028772292665654842e+00
7.887474534701358664e+01,1.028772292665654842e+00
7.887347799015725514e+01,1.028772292665654842e+00
7.887220472013400752e+01,1.028772292665654842e+00
7.887092553580650645e+01,1.028772292665654842e+00
7.886964043603737196e+01,1.028772292665654842e+00
7.886834941968926671e+01,1.028772292665654842e+00
7.886705248562482495e+01,1.028772292665654842e+00
7.886574963270668093e+01,1.028772292665654842e+00
7.886444085979751151e+01,1.028772292665654842e+00
7.886312616575993673e+01,1.028772292665654842e+00
7.886180554945659082e+01,1.028772292665654842e+00
7.886047900975015068e+01,1.028772292665654842e+00
7.885914654550322211e+01,1.028772292665654842e+00
7.885780815557848200e+01,1.028772292665654842e+00
7.885646383883856458e+01,1.028772292665654842e+00
7.885511359414610411e+01,1.028772292665654842e+00
7.885375742036376323e+01,1.028772292665654842e+00
7.885239531635416199e+01,1.028772292665654842e+00
7.885102728097996305e+01,1.028772292665654842e+00
7.884965331310380066e+01,1.028772292665654842e+00
7.884827341158832326e+01,1.028772292665654842e+00
7.884688757529617931e+01,1.028772292665654842e+00
7.884549580309001726e+01,1.028772292665654842e+00
7.884409809383245715e+01,1.028772292665654842e+00
7.884269444638617585e+01,1.028772292665654842e+00
7.884128485961377919e+01,1.028772292665654842e+00
7.883986933237795824e+01,1.028772292665654842e+00
7.883844786354130463e+01,1.028772292665654842e+00
7.883702045196650943e+01,1.028772292665654842e+00
7.883558709651619267e+01,1.028772292665654842e+00
7.883414779605300282e+01,1.028772292665654842e+00
7.883270254943958832e+01,1.028772292665654842e+00
7.883125135553858343e+01,1.028772292665654842e+00
7.882979421321263658e+01,1.028772292665654842e+00
7.882833112132439624e+01,1.028772292665654842e+00
7.882686207873651085e+01,1.028772292665654842e+00
7.882538708431161467e+01,1.028772292665654842e+00
7.882390613691234194e+01,1.028772292665654842e+00
7.882241923540136952e+01,1.028772292665654842e+00
7.882092637864131746e+01,1.028772292665654842e+00
7.881942756549481999e+01,1.028772292665654842e+00
7.881792279482455399e+01,1.028772292665654842e+00
7.881641206549313949e+01,1.028772292665654842e+00
7.881489537636322495e+01,1.028772292665654842e+00
7.881337272629745883e+01,1.028772292665654842e+00
7.881184411415847535e+01,1.028772292665654842e+00
7.881030953880893719e+01,1.028772292665654842e+00
7.880876899911147859e+01,1.028772292665654842e+00
7.880722249392873380e+01,1.028772292665654842e+00
7.880567002212336547e+01,1.028772292665654842e+00
7.880411158255800785e+01,1.028772292665654842e+00
7.880254717409529519e+01,1.028772292665654842e+00
7.880097679559789015e+01,1.028772292665654842e+00
7.879940044592844117e+01,1.028772292665654842e+00
7.879781812394956830e+01,1.028772292665654842e+00
7.879622982852391999e+01,1.028772292665654842e+00
7.879463555851415890e+01,1.028772292665654842e+00
7.879303531278291928e+01,1.028772292665654842e+00
7.879142909019283536e+01,1.028772292665654842e+00
7.878981688960656982e+01,1.028772292665654842e+00
7.878819870988675689e+01,1.028772292665654842e+00
7.878657454989604503e+01,1.028772292665654842e+00
7.878494440849706848e+01,1.028772292665654842e+00
7.878330828455247570e+01,1.028772292665654842e+00
7.878166617692491513e+01,1.028772292665654842e+00
7.878001808447703525e+01,1.028772292665654842e+00
7.877836400607147027e+01,1.028772292665654842e+00
7.877670394057086867e+01,1.028772292665654842e+00
7.877503788683787889e+01,1.028772292665654842e+00
7.877336584373513517e+01,1.028772292665654842e+00
7.877168781012528598e+01,1.028772292665654842e+00
7.877000378487097976e+01,1.028772292665654842e+00
7.876831376683485075e+01,1.028772292665654842e+00
7.876661775487956163e+01,1.028772292665654842e+00
7.876491574786773242e+01,1.028772292665654842e+00
7.876320774466204000e+01,1.028772292665654842e+00
7.876149374412509019e+01,1.028772292665654842e+00
7.875977374511954565e+01,1.028772292665654842e+00
7.875804774650805484e+01,1.028772292665654842e+00
7.875631574715326622e+01,1.028772292665654842e+00
7.875457774591779980e+01,1.028772292665654842e+00
7.875283374166433248e+01,1.028772292665654842e+00
7.875108373325548428e+01,1.028772292665654842e+00
7.874932771955390365e+01,1.028772292665654842e+00
7.874756569942223905e+01,1.028772292665654842e+00
7.874579767172312472e+01,1.028772292665654842e+00
7.874402363531922333e+01,1.028772292665654842e+00
7.874224358907316912e+01,1.028772292665654842e+00
7.874045753184759633e+01,1.028772292665654842e+00
7.873866546250516762e+01,1.028772292665654842e+00
7.873686737990853146e+01,1.028772292665654842e+00
7.873506328292029366e+01,1.028772292665654842e+00
7.873325317040314530e+01,1.028772292665654842e+00
7.873143704121970643e+01,1.028772292665654842e+00
7.872961489423261128e+01,1.028772292665654842e+00
7.872778672830452251e+01,1.028772292665654842e+00
7.872595254229808859e+01,1.028772292665654842e+00
7.872411233507592954e+01,1.028772292665654842e+00
7.872226610550070802e+01,1.028772292665654842e+00
7.872041385243507250e+01,1.028772292665654842e+00
7.871855557474165721e+01,1.028772292665654842e+00
7.871669127128309640e+01,1.028772292665654842e+00
7.871482094092206694e+01,1.028772292665654842e+00
7.871294458252117465e+01,1.028772292665654842e+00
7.871106219494308220e+01,1.028772292665654842e+00
7.870917377705043805e+01,1.028772292665654842e+00
7.870727932770587643e+01,1.028772292665654842e+00
7.870537884577206000e+01,1.028772292665654842e+00
7.870347233011160881e+01,1.028772292665654842e+00
7.870155977958717131e+01,1.028772292665654842e+00
7.869964119306141015e+01,1.028772292665654842e+00
7.869771656939694537e+01,1.028772292665654842e+00
7.869578590745643965e+01,1.028772292665654842e+00
7.869384920610252721e+01,1.028772292665654842e+00
7.869190646419787072e+01,1.028772292665654842e+00
7.868995768060507601e+01,1.028772292665654842e+00
7.868800285418681995e+01,1.028772292665654842e+00
7.868604198380575099e+01,1.028772292665654842e+00
7.868407506832448917e+01,1.028772292665654842e+00
7.868210210660568293e+01,1.028772292665654842e+00
7.868012309751199496e+01,1.028772292665654842e+00
7.867813803990604526e+01,1.028772292665654842e+00
7.867614693265049652e+01,1.028772292665654842e+00
7.867414977460798298e+01,1.028772292665654842e+00
7.867214656464115308e+01,1.028772292665654842e+00
7.867013730161265528e+01,1.028772292665654842e+00
7.866812198438512382e+01,1.028772292665654842e+00
7.866610061182122138e+01,1.028772292665654842e+00
7.866407318278356797e+01,1.028772292665654842e+00
7.866203969613481206e+01,1.028772292665654842e+00
7.866000015073761631e+01,1.028772292665654842e+00
7.865795454545460075e+01,1.028772292665654842e+00
7.865590287914842804e+01,1.028772292665654842e+00
7.865384515068174665e+01,1.028772292665654842e+00
7.865178135891717659e+01,1.028772292665654842e+00
7.864971150271738054e+01,1.028772292665654842e+00
7.864763558094499274e+01,1.028772292665654842e+00
7.864555359246267585e+01,1.028772292665654842e+00
7.864346553613304991e+01,1.028772292665654842e+00
7.864137141081877758e+01,1.028772292665654842e+00
7.863927121538247889e+01,1.028772292665654842e+00
7.863716494868683071e+01,1.028772292665654842e+00
7.863505260959446730e+01,1.028772292665654842e+00
7.863293419696800868e+01,1.028772292665654842e+00
7.863080970967013172e+01,1.028772292665654842e+00
7.862867914656345647e+01,1.028772292665654842e+00
7.862654250651064558e+01,1.028772292665654842e+00
7.862439978837433330e+01,1.028772292665654842e+00
7.862225099101715386e+01,1.028772292665654842e+00
7.862009611330176995e+01,1.028772292665654842e+00
7.861793515409081579e+01,1.028772292665654842e+00
7.861576811224695405e+01,1.028772292665654842e+00
7.861359498663279055e+01,1.028772292665654842e+00
7.861141577611100217e+01,1.028772292665654842e+00
7.860923047954422316e+01,1.028772292665654842e+00
7.860703909579510196e+01,1.028772292665654842e+00
7.860484162372627281e+01,1.028772292665654842e+00
7.860263806220039839e+01,1.028772292665654842e+00
7.860042841008009873e+01,1.028772292665654842e+00
7.859821266622802227e+01,1.028772292665654842e+00
7.859599082950683169e+01,1.028772292665654842e+00
7.859376289877916122e+01,1.028772292665654842e+00
7.859152887290764511e+01,1.028772292665654842e+00
7.858928875075493181e+01,1.028772292665654842e+00
7.858704253118368399e+01,1.028772292665654842e+00
7.858479021305652168e+01,1.028772292665654842e+00
7.858253179523610754e+01,1.028772292665654842e+00
7.858026727658507582e+01,1.028772292665654842e+00
7.857799665596607497e+01,1.028772292665654842e+00
7.857571993224173923e+01,1.028772292665654842e+00
7.857343710427471706e+01,1.028772292665654842e+00
7.857114817092767112e+01,1.028772292665654842e+00
7.856885313106322144e+01,1.028772292665654842e+00
7.856655198354401648e+01,1.028772292665654842e+00
7.856424472723270469e+01,1.028772292665654842e+00
7.856193136099193453e+01,1.028772292665654842e+00
7.855961188368435444e+01,1.028772292665654842e+00
7.855728629417258446e+01,1.028772292665654842e+00
7.855495459131930147e+01,1.028772292665654842e+00
7.855261677398712550e+01,1.028772292665654842e+00
