# Pixel positions of the trace in the spatial direction, Width of the trace
8.261530630504356054e+01,1.200440140303409731e+00
8.261497847814379725e+01,1.200440140303409731e+00
8.261464573341210382e+01,1.200440140303409731e+00
8.261430807576266488e+01,1.200440140303409731e+00
8.261396551010967926e+01,1.200440140303409731e+00
8.261361804136733156e+01,1.200440140303409731e+00
8.261326567444982061e+01,1.200440140303409731e+00
8.261290841427134524e+01,1.200440140303409731e+00
8.261254626574607585e+01,1.200440140303409731e+00
8.261217923378821126e+01,1.200440140303409731e+00
8.261180732331195031e+01,1.200440140303409731e+00
8.261143053923146340e+01,1.200440140303409731e+00
8.261104888646096356e+01,1.200440140303409731e+00
8.261066236991464962e+01,1.200440140303409731e+00
8.261027099450667777e+01,1.200440140303409731e+00
8.260987476515126104e+01,1.200440140303409731e+00
8.260947368676259828e+01,1.200440140303409731e+00
8.260906776425485987e+01,1.200440140303409731e+00
8.260865700254224464e+01,1.200440140303409731e+00
8.260824140653895142e+01,1.200440140303409731e+00
8.260782098115916483e+01,1.200440140303409731e+00
8.260739573131708369e+01,1.200440140303409731e+00
8.260696566192687840e+01,1.200440140303409731e+00
8.260653077790276200e+01,1.200440140303409731e+00
8.260609108415890489e+01,1.200440140303409731e+00
8.260564658560952012e+01,1.200440140303409731e+00
8.260519728716879229e+01,1.200440140303409731e+00
8.260474319375089181e+01,1.200440140303409731e+00
8.260428431027004592e+01,1.200440140303409731e+00
8.260382064164041083e+01,1.200440140303409731e+00
8.260335219277619956e+01,1.200440140303409731e+00
8.260287896859159673e+01,1.200440140303409731e+00
8.260240097400078696e+01,1.200440140303409731e+00
8.260191821391796907e+01,1.200440140303409731e+00
8.260143069325734189e+01,1.200440140303409731e+00
8.260093841693307581e+01,1.200440140303409731e+00
8.260044138985936968e+01,1.200440140303409731e+00
8.259993961695042231e+01,1.200440140303409731e+00
8.259943310312041831e+01,1.200440140303409731e+00
8.259892185328354230e+01,1.200440140303409731e+00
8.259840587235400733e+01,1.200440140303409731e+00
8.259788516524598379e+01,1.200440140303409731e+00
8.259735973687365629e+01,1.200440140303409731e+00
8.259682959215123788e+01,1.200440140303409731e+00
8.259629473599291316e+01,1.200440140303409731e+00
8.259575517331286676e+01,1.200440140303409731e+00
8.259521090902529750e+01,1.200440140303409731e+00
8.259466194804437578e+01,1.200440140303409731e+00
8.259410829528432885e+01,1.200440140303409731e+00
8.259354995565931290e+01,1.200440140303409731e+00
8.259298693408354097e+01,1.200440140303409731e+00
8.259241923547118347e+01,1.200440140303409731e+00
8.259184686473645343e+01,1.200440140303409731e+00
8.259126982679353546e+01,1.200440140303409731e+00
8.259068812655661418e+01,1.200440140303409731e+00
8.259010176893987420e+01,1.200440140303409731e+00
8.258951075885752857e+01,1.200440140303409731e+00
8.258891510122374768e+01,1.200440140303409731e+00
8.258831480095273037e+01,1.200440140303409731e+00
8.258770986295867544e+01,1.200440140303409731e+00
8.258710029215575332e+01,1.200440140303409731e+00
8.258648609345817704e+01,1.200440140303409731e+00
8.258586727178013120e+01,1.200440140303409731e+00
8.258524383203580044e+01,1.200440140303409731e+00
8.258461577913938356e+01,1.200440140303409731e+00
8.258398311800505098e+01,1.200440140303409731e+00
8.258334585354702995e+01,1.200440140303409731e+00
8.258270399067947665e+01,1.200440140303409731e+00
8.258205753431660412e+01,1.200440140303409731e+00
8.258140648937259698e+01,1.200440140303409731e+00
8.258075086076163984e+01,1.200440140303409731e+00
8.258009065339793153e+01,1.200440140303409731e+00
8.257942587219565667e+01,1.200440140303409731e+00
8.257875652206901407e+01,1.200440140303409731e+00
8.257808260793218835e+01,1.200440140303409731e+00
8.257740413469937835e+01,1.200440140303409731e+00
8.257672110728475445e+01,1.200440140303409731e+00
8.257603353060254392e+01,1.200440140303409731e+00
8.257534140956690294e+01,1.200440140303409731e+00
8.257464474909203034e+01,1.200440140303409731e+00
8.257394355409213915e+01,1.200440140303409731e+00
8.257323782948138557e+01,1.200440140303409731e+00
8.257252758017398264e+01,1.200440140303409731e+00
8.257181281108412918e+01,1.200440140303409731e+00
8.257109352712599559e+01,1.200440140303409731e+00
8.257036973321378071e+01,1.200440140303409731e+00
8.256964143426168334e+01,1.200440140303409731e+00
8.256890863518388812e+01,1.200440140303409731e+00
8.256817134089457966e+01,1.200440140303409731e+00
8.256742955630795677e+01,1.200440140303409731e+00
8.256668328633820408e+01,1.200440140303409731e+00
8.256593253589952042e+01,1.200440140303409731e+00
8.256517730990609039e+01,1.200440140303409731e+00
8.256441761327211282e+01,1.200440140303409731e+00
8.256365345091177232e+01,1.200440140303409731e+00
8.256288482773925352e+01,1.200440140303409731e+00
8.256211174866875524e+01,1.200440140303409731e+00
8.256133421861447630e+01,1.200440140303409731e+00
8.256055224249060132e+01,1.200440140303409731e+00
8.255976582521131490e+01,1.200440140303409731e+00
8.255897497169081589e+01,1.200440140303409731e+00
8.255817968684328889e+01,1.200440140303409731e+00
8.255737997558291852e+01,1.200440140303409731e+00
8.255657584282391781e+01,1.200440140303409731e+00
8.255576729348045717e+01,1.200440140303409731e+00
8.255495433246673542e+01,1.200440140303409731e+00
8.255413696469695140e+01,1.200440140303409731e+00
8.255331519508528970e+01,1.200440140303409731e+00
8.255248902854593496e+01,1.200440140303409731e+00
8.255165846999307178e+01,1.200440140303409731e+00
8.255082352434091320e+01,1.200440140303409731e+00
8.254998419650364383e+01,1.200440140303409731e+00
8.254914049139544829e+01,1.200440140303409731e+00
8.254829241393051120e+01,1.200440140303409731e+00
8.254743996902303138e+01,1.200440140303409731e+00
8.254658316158720766e+01,1.200440140303409731e+00
8.254572199653722464e+01,1.200440140303409731e+00
8.254485647878726695e+01,1.200440140303409731e+00
8.254398661325153341e+01,1.200440140303409731e+00
8.254311240484420864e+01,1.200440140303409731e+00
8.254223385847949146e+01,1.200440140303409731e+00
8.254135097907156648e+01,1.200440140303409731e+00
8.254046377153461833e+01,1.200440140303409731e+00
8.253957224078286004e+01,1.200440140303409731e+00
8.253867639173046200e+01,1.200440140303409731e+00
8.253777622929162305e+01,1.200440140303409731e+00
8.253687175838052781e+01,1.200440140303409731e+00
8.253596298391137509e+01,1.200440140303409731e+00
8.253504991079836373e+01,1.200440140303409731e+00
8.253413254395566412e+01,1.200440140303409731e+00
8.253321088829747509e+01,1.200440140303409731e+00
8.253228494873799548e+01,1.200440140303409731e+00
8.253135473019140989e+01,1.200440140303409731e+00
8.253042023757191714e+01,1.200440140303409731e+00
8.252948147579368765e+01,1.200440140303409731e+00
8.252853844977093445e+01,1.200440140303409731e+00
8.252759116441784215e+01,1.200440140303409731e+00
8.252663962464858116e+01,1.200440140303409731e+00
8.252568383537737873e+01,1.200440140303409731e+00
8.252472380151840525e+01,1.200440140303409731e+00
8.252375952798585956e+01,1.200440140303409731e+00
8.252279101969391206e+01,1.200440140303409731e+00
8.252181828155677579e+01,1.200440140303409731e+00
8.252084131848863535e+01,1.200440140303409731e+00
8.251986013540368958e+01,1.200440140303409731e+00
8.251887473721610888e+01,1.200440140303409731e+00
8.251788512884010629e+01,1.200440140303409731e+00
8.251689131518985221e+01,1.200440140303409731e+00
8.251589330117955967e+01,1.200440140303409731e+00
8.251489109172339909e+01,1.200440140303409731e+00
8.251388469173556928e+01,1.200440140303409731e+00
8.251287410613026907e+01,1.200440140303409731e+00
8.251185933982168308e+01,1.200440140303409731e+00
8.251084039772399592e+01,1.200440140303409731e+00
8.250981728475140642e+01,1.200440140303409731e+00
8.250879000581811340e+01,1.200440140303409731e+00
8.250775856583828727e+01,1.200440140303409731e+00
8.250672296972614106e+01,1.200440140303409731e+00
8.250568322239584518e+01,1.200440140303409731e+00
8.250463932876159845e+01,1.200440140303409731e+00
8.250359129373759970e+01,1.200440140303409731e+00
8.250253912223803354e+01,1.200440140303409731e+00
8.250148281917708459e+01,1.200440140303409731e+00
8.250042238946895168e+01,1.200440140303409731e+00
8.249935783802783362e+01,1.200440140303409731e+00
8.249828916976790083e+01,1.200440140303409731e+00
8.249721638960336634e+01,1.200440140303409731e+00
8.249613950244840055e+01,1.200440140303409731e+00
8.249505851321720229e+01,1.200440140303409731e+00
8.249397342682397039e+01,1.200440140303409731e+00
8.249288424818288945e+01,1.200440140303409731e+00
8.249179098220815831e+01,1.200440140303409731e+00
8.249069363381394737e+01,1.200440140303409731e+00
8.248959220791446967e+01,1.200440140303409731e+00
8.248848670942389560e+01,1.200440140303409731e+00
8.248737714325643822e+01,1.200440140303409731e+00
8.248626351432628212e+01,1.200440140303409731e+00
8.248514582754759772e+01,1.200440140303409731e+00
8.248402408783461226e+01,1.200440140303409731e+00
8.248289830010148194e+01,1.200440140303409731e+00
8.248176846926241979e+01,1.200440140303409731e+00
8.248063460023159621e+01,1.200440140303409731e+00
8.247949669792323846e+01,1.200440140303409731e+00
8.247835476725150272e+01,1.200440140303409731e+00
8.247720881313058783e+01,1.200440140303409731e+00
8.247605884047469260e+01,1.200440140303409731e+00
8.247490485419800166e+01,1.200440140303409731e+00
8.247374685921471382e+01,1.200440140303409731e+00
8.247258486043899950e+01,1.200440140303409731e+00
8.247141886278508593e+01,1.200440140303409731e+00
8.247024887116712932e+01,1.200440140303409731e+00
8.246907489049934270e+01,1.200440140303409731e+00
8.246789692569589647e+01,1.200440140303409731e+00
8.246671498167100367e+01,1.200440140303409731e+00
8.246552906333884891e+01,1.200440140303409731e+00
8.246433917561361682e+01,1.200440140303409731e+00
8.246314532340949199e+01,1.200440140303409731e+00
8.246194751164067327e+01,1.200440140303409731e+00
8.246074574522135947e+01,1.200440140303409731e+00
8.245954002906573521e+01,1.200440140303409731e+00
8.245833036808799932e+01,1.200440140303409731e+00
8.245711676720232219e+01,1.200440140303409731e+00
8.245589923132291688e+01,1.200440140303409731e+00
8.245467776536395377e+01,1.200440140303409731e+00
8.245345237423964591e+01,1.200440140303409731e+00
8.245222306286416369e+01,1.200440140303409731e+00
8.245098983615170596e+01,1.200440140303409731e+00
8.244975269901647152e+01,1.200440140303409731e+00
8.244851165637264501e+01,1.200440140303409731e+00
8.244726671313441102e+01,1.200440140303409731e+00
8.244601787421598260e+01,1.200440140303409731e+00
8.244476514453151594e+01,1.200440140303409731e+00
8.244350852899523829e+01,1.200440140303409731e+00
8.244224803252130584e+01,1.200440140303409731e+00
8.244098366002393163e+01,1.200440140303409731e+00
8.243971541641731449e+01,1.200440140303409731e+00
8.243844330661562481e+01,1.200440140303409731e+00
8.243716733553306142e+01,1.200440140303409731e+00
8.243588750808380894e+01,1.200440140303409731e+00
8.243460382918206619e+01,1.200440140303409731e+00
8.243331630374203201e+01,1.200440140303409731e+00
8.243202493667789099e+01,1.200440140303409731e+00
8.243072973290381356e+01,1.200440140303409731e+00
8.242943069733402695e+01,1.200440140303409731e+00
8.242812783488268735e+01,1.200440140303409731e+00
8.242682115046400781e+01,1.200440140303409731e+00
8.242551064899218716e+01,1.200440140303409731e+00
8.242419633538138157e+01,1.200440140303409731e+00
8.242287821454581831e+01,1.200440140303409731e+00
8.242155629139966777e+01,1.200440140303409731e+00
8.242023057085712878e+01,1.200440140303409731e+00
8.241890105783238596e+01,1.200440140303409731e+00
8.241756775723963813e+01,1.200440140303409731e+00
8.241623067399306990e+01,1.200440140303409731e+00
8.241488981300686589e+01,1.200440140303409731e+00
8.241354517919523914e+01,1.200440140303409731e+00
8.241219677747236005e+01,1.200440140303409731e+00
8.241084461275242745e+01,1.200440140303409731e+00
8.240948868994962595e+01,1.200440140303409731e+00
8.240812901397816859e+01,1.200440140303409731e+00
8.240676558975221155e+01,1.200440140303409731e+00
8.240539842218598210e+01,1.200440140303409731e+00
8.240402751619363642e+01,1.200440140303409731e+00
8.240265287668938754e+01,1.200440140303409731e+00
8.240127450858742009e+01,1.200440140303409731e+00
8.239989241680193288e+01,1.200440140303409731e+00
8.239850660624711054e+01,1.200440140303409731e+00
8.239711708183713768e+01,1.200440140303409731e+00
8.239572384848621311e+01,1.200440140303409731e+00
8.239432691110852147e+01,1.200440140303409731e+00
8.239292627461826157e+01,1.200440140303409731e+00
8.239152194392961803e+01,1.200440140303409731e+00
8.239011392395678968e+01,1.200440140303409731e+00
8.238870221961396112e+01,1.200440140303409731e+00
8.238728683581533119e+01,1.200440140303409731e+00
8.238586777747507028e+01,1.200440140303409731e+00
8.238444504950739145e+01,1.200440140303409731e+00
8.238301865682647929e+01,1.200440140303409731e+00
8.238158860434651842e+01,1.200440140303409731e+00
8.238015489698170768e+01,1.200440140303409731e+00
8.237871753964623167e+01,1.200440140303409731e+00
8.237727653725428922e+01,1.200440140303409731e+00
8.237583189472006495e+01,1.200440140303409731e+00
8.237438361695774347e+01,1.200440140303409731e+00
8.237293170888153782e+01,1.200440140303409731e+00
8.237147617540561839e+01,1.200440140303409731e+00
8.237001702144418402e+01,1.200440140303409731e+00
8.236855425191141933e+01,1.200440140303409731e+00
8.236708787172152313e+01,1.200440140303409731e+00
8.236561788578868004e+01,1.200440140303409731e+00
8.236414429902708889e+01,1.200440140303409731e+00
8.236266711635093429e+01,1.200440140303409731e+00
8.236118634267441507e+01,1.200440140303409731e+00
8.235970198291170163e+01,1.200440140303409731e+00
