# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
2.408600677379128057e-14,1.304630507991212640e-11,1.871837101687541793e-10
5.885742163886964901e-14,1.553023304368877096e-11,2.227474363325544715e-10
5.565222048681592785e-14,1.811255200640211858e-11,2.599364775657584370e-10
3.204602542402677425e-14,2.092572198700629935e-11,3.002745439935782609e-10
3.248287141690486456e-14,2.395439230084304022e-11,3.436156639460466044e-10
3.219051425611145074e-14,2.717614188867665274e-11,3.898670947118366444e-10
7.193621841743376915e-14,3.096577294507574385e-11,4.441776831955027401e-10
5.817935085218206466e-14,3.454699453157142226e-11,4.954288211337979891e-10
4.779829287914750659e-14,3.814664543765664230e-11,5.472262504729986508e-10
2.218423515023199081e-14,4.176493255796414552e-11,5.993614973375573283e-10
8.445463379836662364e-15,4.534739409602470109e-11,6.503653467948074394e-10
1.820386169968434483e-14,4.888518499854863202e-11,7.014875197434540065e-10
4.388351781799290987e-14,5.256976176013581780e-11,7.539230239077301806e-10
1.123575761965301745e-13,5.563696777875388102e-11,7.980300776292788871e-10
3.707961039673022733e-14,5.842341725776032770e-11,8.383448900719622211e-10
1.054770582353383575e-13,6.087914239082470262e-11,8.733219333035337058e-10
9.674468161724485534e-14,6.296013507236800453e-11,9.031076272830606403e-10
1.743984627280669226e-13,6.465435347691965784e-11,9.271010727688461113e-10
5.088402047436975020e-14,6.594741517169222162e-11,9.463137350310190703e-10
1.709054142551226967e-13,6.661392117812299055e-11,9.557080569812170135e-10
4.107401797955283692e-14,6.681183273369472526e-11,9.587123055335297598e-10
9.184585212536131655e-14,6.654441381676051993e-11,9.548679977466423609e-10
1.684591033699013337e-13,6.582416617237478443e-11,9.438434236732521100e-10
8.992380168809811202e-14,6.466587895814168887e-11,9.275904916310115813e-10
3.995883877244844766e-14,6.288316673309600304e-11,9.021979753004596290e-10
6.012798448352225928e-14,6.089127555292311782e-11,8.738709290011391982e-10
1.083729135388521244e-13,5.858637097372798792e-11,8.403573982241736917e-10
1.158297879778119403e-13,5.601434383738925109e-11,8.032068059975083663e-10
3.533152553912729823e-14,5.322323210903151295e-11,7.632759121267428288e-10
6.752097202745493511e-14,5.026188897394739190e-11,7.209590089159990340e-10
2.381459073352988135e-14,4.691758521450564589e-11,6.732852435850664849e-10
5.367224531062042457e-14,4.364227926931497071e-11,6.263091339273922678e-10
1.060058712860407619e-14,4.045897058636433671e-11,5.804785657662861225e-10
2.425323017284431514e-14,3.729631427219528488e-11,5.351434492990068636e-10
2.303374842892998858e-14,3.418963368115182269e-11,4.904710834962705745e-10
3.703823125652960417e-14,3.116968971237484094e-11,4.470696672185229542e-10
1.351354694772520856e-14,2.821375709186707244e-11,4.048255279470495223e-10
2.042158594078489582e-14,2.518281502922655959e-11,3.613256530596830189e-10
1.232849226248999495e-14,2.258373977269712829e-11,3.239464337821397032e-10
1.435436680837266630e-14,2.014296579374031450e-11,2.891292018718664716e-10
1.655723754017170629e-14,1.786733089554607757e-11,2.563755385814915760e-10
1.373586472041633540e-14,1.576068136623838888e-11,2.261385976638345606e-10
2.548341489520201818e-14,1.382410399267666744e-11,1.982895406958772584e-10
5.329238466925525136e-15,1.198970691791961997e-11,1.720594013018025672e-10
1.082016962784339246e-14,1.029696772980998357e-11,1.477081530719128462e-10
1.631521334965563904e-14,8.884778288132182733e-12,1.274708617216643418e-10
1.366728303029832051e-14,7.622766592801108014e-12,1.093787169194831218e-10
9.892544414771031157e-15,6.502393440904273210e-12,9.330406890590859964e-11
2.105242370010590295e-15,5.514309619333129757e-12,7.910920562180594690e-11
2.286709714087792891e-15,4.648635380721473827e-12,6.667802048613583310e-11
3.234269635771771083e-15,3.870818744591977514e-12,5.553043229551566832e-11
4.687530023577062819e-16,3.185693470042992867e-12,4.571052345699277140e-11
2.192348802814820618e-15,2.642380240300562975e-12,3.791800625954406904e-11
2.980329218236599459e-15,2.179151353770355098e-12,3.127355201110123649e-11
1.650333971594415895e-15,1.788971004530358326e-12,2.567728897220484539e-11
1.362995193036572477e-15,1.465515874351192164e-12,2.102737146458259999e-11
6.112124222904612712e-16,1.201106782945050472e-12,1.722987154655470880e-11
2.140889704341451047e-15,9.865444871277631913e-13,1.415084266758295603e-11
7.525080877820201635e-16,8.025238916462994870e-13,1.151250602099377114e-11
5.016873214160383215e-16,6.727239063859128008e-13,9.655794129046557817e-12
1.850431202144214813e-15,5.705362924109544219e-13,8.184007723418440646e-12
1.153502253193461093e-15,4.908914317049479836e-13,7.043287055656992773e-12
6.101115751282928240e-16,4.296851197626684627e-13,6.164312954014296709e-12
9.444089185388867151e-16,3.837028172248868384e-13,5.505721216203380886e-12
1.642644620674051037e-15,3.505379020234113978e-13,5.030709302750880486e-12
1.461521358660917571e-15,3.276324976246499652e-13,4.699995942619418634e-12
1.258915314159259666e-15,3.138331604187658126e-13,4.501237506555775601e-12
1.343552226603376853e-15,3.065388473736995023e-13,4.398829134967002980e-12
7.871141010344199299e-16,3.027453754376845198e-13,4.344416299906062156e-12
7.079961761466471569e-16,3.008043406678061142e-13,4.316931710264994379e-12
9.854177321943250378e-16,2.991640818033148572e-13,4.292377863173583018e-12
7.881675481995298959e-16,2.963174385481274796e-13,4.251436917612031259e-12
7.559274136258493774e-16,2.908307958715339302e-13,4.174221439202090093e-12
4.990928404240311484e-16,2.813766508104797263e-13,4.036691310861644183e-12
1.126922731291285311e-15,2.693607777144241472e-13,3.863646156063461486e-12
1.198150596666106226e-15,2.565844163796627400e-13,3.679447382818333978e-12
