# Pesampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
7.400411801799254003e-19,1.748901689616304572e-17,1.295453537097273188e-14,5.678278611643175914e-17
3.377046812638547440e-19,3.347947071827159195e-17,2.480768919566715619e-14,1.087053927092840454e-16
2.515994208189183390e-18,6.233693675032667478e-17,4.617858208319387838e-14,2.023807001462319291e-16
2.366267223238634580e-18,1.129562656989190991e-16,8.370556044178661379e-14,3.666840805854514243e-16
1.275276331743878844e-17,1.993386724130312833e-16,1.476515645485470679e-13,6.470360883508765868e-16
1.060944103966034713e-17,3.427528786976223205e-16,2.539533875280759054e-13,1.112695376791498344e-15
3.535245838721416504e-17,5.749968805288220241e-16,4.259948286229924107e-13,1.866054209523335188e-15
2.060247274886678761e-17,9.411087991710941895e-16,6.976728585163802936e-13,3.053892016982706869e-15
3.075905061557953201e-17,1.503976484353939561e-15,1.115050724834947775e-12,4.880219068079244015e-15
1.860737182902699641e-16,2.348084533625485266e-15,1.739337389422890835e-12,7.619919628710537670e-15
3.221775692357125900e-16,3.584961805983675086e-15,2.655606038297501030e-12,1.163191757373171473e-14
3.875785503576146037e-16,5.352856141639820820e-15,3.965618104593251479e-12,1.737010175534165650e-14
4.283428054506113143e-16,7.824059597275334040e-15,5.797492976154593753e-12,2.538985315111908361e-14
1.445396311629443996e-17,1.119771355269194567e-14,8.300607430230531844e-12,3.634781448525676086e-14
4.997853114368988367e-16,1.570764645683399925e-14,1.163815217262988529e-11,5.099263478020155198e-14
1.444843745875975349e-15,2.161068936720434897e-14,1.600732848803336281e-11,7.014487818373250518e-14
1.155946096443589515e-15,2.916241199744017805e-14,2.160650991503299802e-11,9.466513098191421028e-14
5.235305060337842272e-16,3.862989413781255054e-14,2.862752987032974677e-11,1.254105296580208315e-13
2.851703074203550658e-15,5.027860733864098478e-14,3.725047311229106933e-11,1.631813519152099496e-13
3.637062815443716376e-15,6.430142133045419069e-14,4.764725857397963703e-11,2.086607858313610909e-13
2.739735840641974396e-15,8.082825055981105894e-14,5.989667454853779275e-11,2.623523060867296795e-13
5.463604938428672471e-15,9.998246035389290307e-14,7.407128881976801724e-11,3.245200239330181212e-13
1.554963602247442306e-14,1.217886768534469192e-13,9.017867607895099403e-11,3.951377590439825941e-13
1.119249226315546586e-14,1.460161469437087902e-13,1.081617295451620043e-10,4.738522981930214884e-13
7.938028709669679057e-15,1.725669303309521668e-13,1.278932182128843077e-10,5.599653451035501332e-13
1.452591630290272952e-14,2.010450530339059863e-13,1.489340120198141153e-10,6.524371175739708553e-13
3.037983869086693415e-14,2.311356278493170831e-13,1.711392335104989415e-10,7.499125923887937905e-13
2.491367196108601815e-14,2.621820353675046160e-13,1.941850114734493082e-10,8.507692779889652471e-13
2.030884796196238915e-14,2.936645241806448065e-13,2.175149597868579942e-10,9.531833747921021209e-13
8.157761807957360573e-15,3.251180514066328164e-13,2.409612926966900374e-10,1.055209509879243852e-12
8.366910858703263299e-15,3.558554788384349229e-13,2.637723662394680568e-10,1.154868097157792894e-12
9.111763088806855583e-15,3.851830545134316712e-13,2.854722443637556475e-10,1.250233885615628278e-12
3.209988249508364452e-14,4.128173584705336797e-13,3.058353166926312699e-10,1.339519435088156823e-12
6.930837464119826168e-15,4.377782792171322519e-13,3.244389075513056310e-10,1.421148033133009751e-12
1.422084377179694100e-15,4.602304667274111431e-13,3.411164561127891558e-10,1.494100339595139094e-12
1.453052129174187495e-15,4.799971451546142153e-13,3.558301700606567749e-10,1.557979652810933186e-12
6.642211667716605038e-15,4.957286246686416278e-13,3.673567643318432821e-10,1.609432909340771265e-12
1.722958134265647881e-14,5.082791205571315759e-13,3.766227552681388752e-10,1.649920823589437309e-12
1.829210837932794025e-14,5.173917407288684947e-13,3.833740996915196941e-10,1.679464938719188712e-12
5.373471915284709305e-14,5.234528978019119294e-13,3.877044579697438441e-10,1.698377438001719185e-12
