# Flux, Flux Uncertainty, Sky Flux
5.841289827195961662e-14,7.236127096942246215e-12,4.916499202753029710e-11
3.053072132865666907e-14,5.110236259300563241e-12,4.314370264245714915e-11
1.575197741664241836e-14,4.474566630452520605e-12,3.797424593984345251e-11
1.871833340909795331e-14,3.520805481382970330e-12,3.351139750686878960e-11
1.689029257955031981e-14,3.190358161246181497e-12,2.967351397510002698e-11
1.737605675886969877e-14,3.195358852404041689e-12,2.635239935789574783e-11
1.080175977622471904e-14,2.567984765413602800e-12,2.346892789401317595e-11
2.269404367379557427e-14,2.550610485813125137e-12,2.096323730026665821e-11
1.165953006291033699e-14,2.509037351183736720e-12,1.878962726831587277e-11
1.535930593863045763e-14,2.185239818433059147e-12,1.688303498963283377e-11
9.274612592714352613e-15,1.735184135658373091e-12,1.521784676805371403e-11
5.509038446440761715e-15,1.411647863380141302e-12,1.374948639943347837e-11
8.706583432521325414e-15,1.597893192449128024e-12,1.245709615686168502e-11
1.056241207398879866e-14,1.403716321731671771e-12,1.131200819640944014e-11
5.690861668184992811e-15,1.227496014777717235e-12,1.030531616099948928e-11
7.165061456403771128e-15,1.172007323770057192e-12,9.412950871069151591e-12
2.799884322472583989e-15,7.726195871929783223e-13,8.618237570413916464e-12
4.540453874446361584e-15,8.526101017372546747e-13,7.902818527729795382e-12
3.822893946431093239e-15,7.843152437281278937e-13,7.273226200303573595e-12
9.860202901058586485e-15,5.712131736745916637e-13,6.699768973952733658e-12
3.057227488233087493e-15,6.876942790343469678e-13,6.195574512949920220e-12
3.793233364370276494e-15,7.074650081223907255e-13,5.735086441708145975e-12
1.430754121036209894e-15,5.257997331369239707e-13,5.329271077200720668e-12
2.790694237722794849e-15,5.283948465027815523e-13,4.952925846373823167e-12
1.026977196973092277e-15,3.860389261202331486e-13,4.619350323918130848e-12
3.782702519096669120e-15,5.992258741984168551e-13,4.312828966000121177e-12
2.378007057157096658e-15,4.353690777554389009e-13,4.036038007738309661e-12
2.176682613548923915e-15,4.129912176845429912e-13,3.783133232791541851e-12
9.761337832847677592e-16,3.010844265131387604e-13,3.556831225896642581e-12
1.116694518777467922e-15,3.107008639490876238e-13,3.347002997786591394e-12
2.667098244510027261e-15,3.991863378393512448e-13,3.155049618958059303e-12
2.123722839031974984e-15,3.613408874336759179e-13,2.980785902867732110e-12
1.570982271797585160e-15,3.441087055839731895e-13,2.819166312193462419e-12
1.984522838559768394e-15,3.378793890169851955e-13,2.670941431950280833e-12
1.627112509791583411e-15,3.068359444386096990e-13,2.533100220134046139e-12
1.147413973674107554e-15,2.565409855949543797e-13,2.409299606795986680e-12
1.247679742956389796e-15,2.756631842464956735e-13,2.294050568492948000e-12
1.337437111364526652e-15,2.741321149569531285e-13,2.186641937101685846e-12
9.608673104479432888e-16,2.036881560617578551e-13,2.087383433838483305e-12
1.207536140164152290e-15,2.460664882482880824e-13,1.995524079798485126e-12
8.795976560718942021e-16,1.924210640281751200e-13,1.910379432039083512e-12
9.115333659935498279e-16,2.136826086204466389e-13,1.830412633988206709e-12
6.617390178608689177e-16,1.648757223352644716e-13,1.756836671772266038e-12
1.176164788425265104e-15,2.152670529736690799e-13,1.686478223472178915e-12
5.849231129628153042e-16,1.839751406723471907e-13,1.622051364653785575e-12
6.147649245933100132e-16,1.545302573272061464e-13,1.562545531470700195e-12
8.974275265209627974e-16,1.833492167877705718e-13,1.504966537815315573e-12
8.079462715339355190e-16,1.623432098369549546e-13,1.452156868189356079e-12
6.422759986326337543e-16,1.511158447398575548e-13,1.401729189086574684e-12
4.779821184747791917e-16,1.282136054908985659e-13,1.353903167222980694e-12
6.342993311970866564e-16,1.568749336589152498e-13,1.308884130858200869e-12
6.560252898220246894e-16,1.205567190233508478e-13,1.266704288117618863e-12
3.056655495560597077e-16,1.061331528144092560e-13,1.226605793370840235e-12
5.578168196746500385e-16,1.069574184449452336e-13,1.188712800345156349e-12
9.079244634638205457e-16,1.265750748207493314e-13,1.152170168263916505e-12
8.590551259355584557e-16,1.410793886520853235e-13,1.117537336577044131e-12
8.011897263059464676e-16,1.339120938418099332e-13,1.084592961387629504e-12
9.320478280936632161e-16,1.457019817443061076e-13,1.053116013566901008e-12
5.601010670069767992e-16,1.107469370179680149e-13,1.023827609859500065e-12
6.852654288149132192e-16,1.161081353367015468e-13,9.945347497385302680e-13
4.568744920166889308e-16,1.044226047602465691e-13,9.670624876931395475e-13
4.569347666054229980e-16,1.136366962871559820e-13,9.406946999214691269e-13
