# Pesampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
5.838670514480176930e-16,3.550199550269899988e-14,1.081459137980382945e-12,1.933325981908203387e-15
8.457689785947262615e-16,3.531854821905618226e-14,1.076014343307731265e-12,1.923336025089887679e-15
4.019203334704887532e-16,3.519901086908786918e-14,1.072476184632537725e-12,1.916826400394782173e-15
6.016644074922608741e-16,3.510145990065038333e-14,1.069913180964809138e-12,1.911514084248034738e-15
6.047864486062861689e-16,3.499272799505261042e-14,1.066059161025568253e-12,1.905592889756105251e-15
5.190980293020392942e-16,3.484008060982904694e-14,1.061825161079001819e-12,1.897280197645163719e-15
6.739111510596726427e-16,3.461148089582767557e-14,1.054413915296271524e-12,1.884831382804771726e-15
6.478443219570071226e-16,3.427618115217458793e-14,1.044309123130655745e-12,1.866572023047777427e-15
3.364087323318991241e-16,3.381104128912949852e-14,1.030544570370561508e-12,1.841241982540787615e-15
4.820542236412561577e-16,3.322030100401030898e-14,1.012257785912046379e-12,1.809072141742275472e-15
6.132062824394886865e-16,3.253499185263944361e-14,9.913505256716089740e-13,1.771752380679615120e-15
5.352575617135734106e-16,3.178777719900103596e-14,9.688197463995994110e-13,1.731061442472622096e-15
4.090972834962084362e-16,3.100933465162352316e-14,9.448373767193677461e-13,1.688669932302163050e-15
4.080718418093047546e-16,3.022793355082730274e-14,9.210458127477807855e-13,1.646117308706866767e-15
4.319580487485306760e-16,2.946927869815391415e-14,8.977996409810474000e-13,1.604803373583909625e-15
4.432233560315215890e-16,2.875657221746904134e-14,8.761235245100892788e-13,1.565991640948345045e-15
3.753011495076058366e-16,2.810677537965443433e-14,8.564301037339826211e-13,1.530605767771950340e-15
3.956141039866534239e-16,2.752267392399229930e-14,8.382450440789365234e-13,1.498797456572949678e-15
4.992416282318306062e-16,2.699938736076548379e-14,8.226867942786210880e-13,1.470300931373197274e-15
5.938007680426436757e-16,2.653175512484537412e-14,8.082380197354663126e-13,1.444835164176721792e-15
3.409922255967105001e-16,2.611511300722752420e-14,7.960421974561660364e-13,1.422146156966521322e-15
5.306383524250764378e-16,2.574522815695978212e-14,7.845752311382663461e-13,1.402003402115889309e-15
5.646599051359473642e-16,2.541824216838616083e-14,7.749832652168735716e-13,1.384196783100371740e-15
5.789279850586500235e-16,2.513062111084418481e-14,7.658691972943962094e-13,1.368533853273702026e-15
6.944856522442055052e-16,2.487911153811058289e-14,7.582926518446926447e-13,1.354837440281849953e-15
6.047500209040648817e-16,2.465732040627127264e-14,7.514728608541566191e-13,1.342759399246115472e-15
6.049553067898404240e-16,2.446759205095789968e-14,7.454059357868831312e-13,1.332427395243835047e-15
4.348477547786822289e-16,2.430879726354847444e-14,7.418859865523971458e-13,1.323779935158174301e-15
6.524761526714048873e-16,2.417495403101822277e-14,7.367471274931151187e-13,1.316491257548010460e-15
6.272295356001932066e-16,2.406372614788317395e-14,7.328635846111342342e-13,1.310434140078454111e-15
4.182316237162199875e-16,2.397287915615845260e-14,7.306990435087106073e-13,1.305486901260452214e-15
6.561276428226149270e-16,2.390026193735805870e-14,7.285984144068042250e-13,1.301532398009525685e-15
6.230308438553205579e-16,2.384379046177526676e-14,7.267463108390647489e-13,1.298457140683164907e-15
4.694517693616391052e-16,2.380137893187094104e-14,7.252852515637890039e-13,1.296147543368329981e-15
5.409644614484463461e-16,2.377044031642143555e-14,7.244033451622886512e-13,1.294462724556611693e-15
6.209250530260687738e-16,2.374731982530994535e-14,7.236084312793358176e-13,1.293203655979705412e-15
5.635103249316879989e-16,2.372803390124647361e-14,7.234411332874064755e-13,1.292153405752681655e-15
6.242014218833909226e-16,2.370861410008523578e-14,7.226222283037088558e-13,1.291095865004487801e-15
6.641963225273381686e-16,2.368510494246250400e-14,7.217931828719291372e-13,1.289815630884961835e-15
7.360708755418113513e-16,2.365356747733635156e-14,7.209895426048062867e-13,1.288098200623895195e-15
7.194466092250503656e-16,2.361008936457627002e-14,7.196934503744254533e-13,1.285730520596854522e-15
7.093855555748615661e-16,2.355080140160738826e-14,7.178480997645877798e-13,1.282501886313765096e-15
7.844603331928602508e-16,2.347190035773335510e-14,7.152207864766703538e-13,1.278205185903652391e-15
5.782499055870298528e-16,2.336967788954622701e-14,7.123239381428525099e-13,1.272638474756072559e-15
6.156277635227696173e-16,2.324055519329628053e-14,7.082560186352480540e-13,1.265606862579174856e-15
8.008052830249507944e-16,2.308112290769223722e-14,7.032112785560018121e-13,1.256924686379536349e-15
6.893855311036137070e-16,2.288818561690413044e-14,6.973780043848820641e-13,1.246417933954428003e-15
7.125943839862651311e-16,2.265881012344533843e-14,6.904840498960995897e-13,1.233926872679733760e-15
6.919074496752951893e-16,2.239037647043528696e-14,6.825141593328240525e-13,1.219308828020417555e-15
4.657911337332415520e-16,2.208063050024985348e-14,6.733150760714038578e-13,1.202441045707778902e-15
5.204739511102725520e-16,2.172773655092260256e-14,6.621063143085696076e-13,1.183223561418189558e-15
5.329841273417796289e-16,2.133032872323219651e-14,6.502390390893651589e-13,1.161581992615932842e-15
5.404528054100848291e-16,2.088755901147858007e-14,6.366540591999259300e-13,1.137470159602488940e-15
6.751795770257418876e-16,2.039914049126748993e-14,6.216391548650706273e-13,1.110872437386184133e-15
7.150960801755536381e-16,1.986562211336843840e-14,6.055561852733071544e-13,1.081818720083408560e-15
6.114750070590182146e-16,1.929656039365526240e-14,5.884719695061872117e-13,1.050829425213059363e-15
7.676425904675222739e-16,1.870610976114158883e-14,5.699992795008706386e-13,1.018675358048178720e-15
6.163667691499621277e-16,1.811958211127493540e-14,5.524448349054674135e-13,9.867349240663496541e-16
5.861550428643653349e-16,1.756618060577382215e-14,5.356326476835851278e-13,9.565984347540711232e-16
5.400934148551392459e-16,1.705272248949094912e-14,5.201460017401705843e-13,9.286371356255495026e-16
6.692936456958126015e-16,1.659297572866348431e-14,5.059677528401953429e-13,9.036007864177561888e-16
7.455621992137123869e-16,1.619912606316107542e-14,4.941075023657722692e-13,8.821529838422015715e-16
6.379542843663364933e-16,1.587911762349136149e-14,4.843637723296346250e-13,8.647263400288505365e-16
6.864919085411277663e-16,1.562746823265301044e-14,4.766235966490071269e-13,8.510223130204242098e-16
6.548346964281724942e-16,1.543291983836352221e-14,4.705382121483946329e-13,8.404278250264513230e-16
6.232888609476186942e-16,1.528522961338095623e-14,4.659463723627830905e-13,8.323850841895190800e-16
6.350397594527192712e-16,1.517494991350756609e-14,4.626532738178828963e-13,8.263796017966341657e-16
6.918703225701318844e-16,1.509318695206507454e-14,4.602031962686915811e-13,8.219270504571941639e-16
6.270648499506557561e-16,1.503141706336646445e-14,4.584675385470919669e-13,8.185632583949009076e-16
7.286297272604625032e-16,1.498135409200814367e-14,4.565436939371360862e-13,8.158369878895620075e-16
6.753330645522091331e-16,1.493486390341489757e-14,4.549792834304301567e-13,8.133052797927386874e-16
6.319808991583284090e-16,1.488392367090151735e-14,4.537776803388198985e-13,8.105312364303573209e-16
6.974270950690121209e-16,1.482062454118520492e-14,4.518765394811956732e-13,8.070841667580513027e-16
7.151246782457442514e-16,1.473721656070356128e-14,4.493690415298333378e-13,8.025420329058265836e-16
6.323768406063754966e-16,1.462619438820718296e-14,4.458352293064121458e-13,7.964961178137703463e-16
6.437373551570523129e-16,1.448042135503127920e-14,4.414613118511811859e-13,7.885577811606304841e-16
7.160249532576968003e-16,1.429333053140035411e-14,4.357258474097924891e-13,7.783694087965158465e-16
7.413815267338851596e-16,1.406211671159978272e-14,4.285923908884329035e-13,7.657782381228789629e-16
6.503548654063298462e-16,1.379285949818120855e-14,4.207742298463358952e-13,7.511153449959128283e-16
6.290378982295543874e-16,1.349709530796914230e-14,4.117552154193900004e-13,7.350089660553040748e-16
6.185124652564252683e-16,1.318618212944590216e-14,4.020872883734364428e-13,7.180776212996161555e-16
6.652340187420439734e-16,1.287067064730433807e-14,3.924229709003386550e-13,7.008958675256995742e-16
7.272087119294616481e-16,1.256022643142815302e-14,3.829084237414726989e-13,6.839900609875614446e-16
7.521410102762394128e-16,1.226362902771694289e-14,3.738665642182411224e-13,6.678383078855847879e-16
7.572385316051225220e-16,1.198883705975702208e-14,3.654592105208439542e-13,6.528740095968679820e-16
7.442787705132441082e-16,1.174264352215853288e-14,3.579840816813629144e-13,6.394670910445818497e-16
7.309623125555343554e-16,1.152693320049596074e-14,3.515423919701038206e-13,6.277201916681598197e-16
6.837204332488631092e-16,1.133914121678391079e-14,3.456946406361620079e-13,6.174936363543242294e-16
7.110445934599926178e-16,1.117587369337923166e-14,3.407956588182527605e-13,6.086026052999656346e-16
7.150499495230690562e-16,1.103402189766071170e-14,3.366198722928851026e-13,6.008778067947211896e-16
6.734214220253254776e-16,1.091071812676529584e-14,3.326810407598458859e-13,5.941630748437458966e-16
7.553401910897102958e-16,1.080329093165904499e-14,3.293926956761645884e-13,5.883129308127504274e-16
6.903877741675344819e-16,1.070922770670847422e-14,3.266412400968757931e-13,5.831905461748101336e-16
6.175445968053648153e-16,1.062614372579629401e-14,3.240128248591794828e-13,5.786660563155164896e-16
7.137423819612507014e-16,1.055175691440992087e-14,3.217370002058841490e-13,5.746151867010012813e-16
7.059119788159540031e-16,1.048386781352856941e-14,3.196358593634603882e-13,5.709181617748257601e-16
6.386566265348033641e-16,1.042034432202791294e-14,3.180004547887529028e-13,5.674588740777738367e-16
6.935310402544989138e-16,1.035911090445770650e-14,3.159847053600979259e-13,5.641242965376774558e-16
6.880933812937854164e-16,1.029814202388193972e-14,3.140213390292605310e-13,5.608041248427379242e-16
6.727288358180898786e-16,1.023545960750428484e-14,3.122844113771155267e-13,5.573906394275324707e-16
8.526974006048483570e-16,1.016913437785239130e-14,3.100811372433356886e-13,5.537787779650846029e-16
7.418893976461422231e-16,1.009729168824647672e-14,3.081163848988521962e-13,5.498664531479601386e-16
6.727066429259891807e-16,1.001875626126409064e-14,3.056508779515153427e-13,5.455896630984418323e-16
6.686336686171542561e-16,9.934262737999307665e-15,3.030835275162056452e-13,5.409884140384982960e-16
5.610634238062121223e-16,9.845009000975250978e-15,3.004143867863100292e-13,5.361279388478417999e-16
5.886054590391058296e-16,9.752186247211122978e-15,2.974293519654250635e-13,5.310731063348665459e-16
5.880560838339494431e-16,9.656149064546748827e-15,2.946431557909865012e-13,5.258432262277924731e-16
6.763219386930736859e-16,9.559242810150990923e-15,2.915757557746423942e-13,5.205660192329946075e-16
6.466405360123791149e-16,9.462546761193520215e-15,2.884602284722716107e-13,5.153002593591415925e-16
6.653091734463280028e-16,9.366701057467828614e-15,2.854548125422191407e-13,5.100808065873931964e-16
6.534461029988859012e-16,9.272696348312924762e-15,2.829306107182529981e-13,5.049616085360997063e-16
6.430059314026599807e-16,9.181483605669326778e-15,2.799033770491937351e-13,4.999944521184418368e-16
7.620336935139186864e-16,9.093976562932528231e-15,2.774362967081654961e-13,4.952290963546493290e-16
6.430451524105873020e-16,9.011053833215779314e-15,2.747954185028278219e-13,4.907133877258666759e-16
6.629674331705381511e-16,8.933485225316018478e-15,2.724538347396792210e-13,4.864892475755572752e-16
7.543090253191710536e-16,8.861296546991921585e-15,2.702034830391908975e-13,4.825580813123445119e-16
6.802520032446862664e-16,8.793649876950208955e-15,2.682686179235516899e-13,4.788742584024388815e-16
5.867594129189624494e-16,8.729673196017830080e-15,2.662613021408166433e-13,4.753902914497549311e-16
6.356566436743568888e-16,8.668522445716436619e-15,2.643831374367922981e-13,4.720602157088804514e-16
5.920912091889510033e-16,8.609378542311511301e-15,2.625620971837183477e-13,4.688394264796724612e-16
6.560211293257844987e-16,8.551445182156222530e-15,2.608662780750056565e-13,4.656845595932487956e-16
