# Pixel positions of the trace in the spatial direction, Width of the trace
2.231808421019460198e+01,1.545014004012824183e+00
2.231951648427167356e+01,1.545014004012824183e+00
2.232094330491743150e+01,1.545014004012824183e+00
2.232236467548472447e+01,1.545014004012824183e+00
2.232378059932639758e+01,1.545014004012824183e+00
2.232519107979529949e+01,1.545014004012824183e+00
2.232659612024428242e+01,1.545014004012824183e+00
2.232799572402619148e+01,1.545014004012824183e+00
2.232938989449387535e+01,1.545014004012824183e+00
2.233077863500018623e+01,1.545014004012824183e+00
2.233216194889796924e+01,1.545014004012824183e+00
2.233353983954006949e+01,1.545014004012824183e+00
2.233491231027934276e+01,1.545014004012824183e+00
2.233627936446863416e+01,1.545014004012824183e+00
2.233764100546078879e+01,1.545014004012824183e+00
2.233899723660865888e+01,1.545014004012824183e+00
2.234034806126509309e+01,1.545014004012824183e+00
2.234169348278294009e+01,1.545014004012824183e+00
2.234303350451504500e+01,1.545014004012824183e+00
2.234436812981426002e+01,1.545014004012824183e+00
2.234569736203343027e+01,1.545014004012824183e+00
2.234702120452540441e+01,1.545014004012824183e+00
2.234833966064303468e+01,1.545014004012824183e+00
2.234965273373916617e+01,1.545014004012824183e+00
2.235096042716665110e+01,1.545014004012824183e+00
2.235226274427833104e+01,1.545014004012824183e+00
2.235355968842706176e+01,1.545014004012824183e+00
2.235485126296568481e+01,1.545014004012824183e+00
2.235613747124705597e+01,1.545014004012824183e+00
2.235741831662401680e+01,1.545014004012824183e+00
2.235869380244941951e+01,1.545014004012824183e+00
2.235996393207611277e+01,1.545014004012824183e+00
2.236122870885694525e+01,1.545014004012824183e+00
2.236248813614476205e+01,1.545014004012824183e+00
2.236374221729241540e+01,1.545014004012824183e+00
2.236499095565275042e+01,1.545014004012824183e+00
2.236623435457861930e+01,1.545014004012824183e+00
2.236747241742286718e+01,1.545014004012824183e+00
2.236870514753834271e+01,1.545014004012824183e+00
2.236993254827789812e+01,1.545014004012824183e+00
2.237115462299437496e+01,1.545014004012824183e+00
2.237237137504062900e+01,1.545014004012824183e+00
2.237358280776950537e+01,1.545014004012824183e+00
2.237478892453385271e+01,1.545014004012824183e+00
2.237598972868651614e+01,1.545014004012824183e+00
2.237718522358035145e+01,1.545014004012824183e+00
2.237837541256820018e+01,1.545014004012824183e+00
2.237956029900291455e+01,1.545014004012824183e+00
2.238073988623733968e+01,1.545014004012824183e+00
2.238191417762433133e+01,1.545014004012824183e+00
2.238308317651672752e+01,1.545014004012824183e+00
2.238424688626738401e+01,1.545014004012824183e+00
2.238540531022914948e+01,1.545014004012824183e+00
2.238655845175486903e+01,1.545014004012824183e+00
2.238770631419739132e+01,1.545014004012824183e+00
2.238884890090956503e+01,1.545014004012824183e+00
2.238998621524423882e+01,1.545014004012824183e+00
2.239111826055426491e+01,1.545014004012824183e+00
2.239224504019248485e+01,1.545014004012824183e+00
2.239336655751175087e+01,1.545014004012824183e+00
2.239448281586491163e+01,1.545014004012824183e+00
2.239559381860481579e+01,1.545014004012824183e+00
2.239669956908431203e+01,1.545014004012824183e+00
2.239780007065624545e+01,1.545014004012824183e+00
2.239889532667346828e+01,1.545014004012824183e+00
2.239998534048882917e+01,1.545014004012824183e+00
2.240107011545517324e+01,1.545014004012824183e+00
2.240214965492534915e+01,1.545014004012824183e+00
2.240322396225220913e+01,1.545014004012824183e+00
2.240429304078859474e+01,1.545014004012824183e+00
2.240535689388736529e+01,1.545014004012824183e+00
2.240641552490135879e+01,1.545014004012824183e+00
2.240746893718342747e+01,1.545014004012824183e+00
2.240851713408641999e+01,1.545014004012824183e+00
2.240956011896318856e+01,1.545014004012824183e+00
2.241059789516657474e+01,1.545014004012824183e+00
2.241163046604943077e+01,1.545014004012824183e+00
2.241265783496460529e+01,1.545014004012824183e+00
2.241368000526494342e+01,1.545014004012824183e+00
2.241469698030329738e+01,1.545014004012824183e+00
2.241570876343251584e+01,1.545014004012824183e+00
2.241671535800544390e+01,1.545014004012824183e+00
2.241771676737493024e+01,1.545014004012824183e+00
2.241871299489382707e+01,1.545014004012824183e+00
2.241970404391497951e+01,1.545014004012824183e+00
2.242068991779123621e+01,1.545014004012824183e+00
2.242167061987544940e+01,1.545014004012824183e+00
2.242264615352046420e+01,1.545014004012824183e+00
2.242361652207912570e+01,1.545014004012824183e+00
2.242458172890428969e+01,1.545014004012824183e+00
2.242554177734879772e+01,1.545014004012824183e+00
2.242649667076550557e+01,1.545014004012824183e+00
2.242744641250725479e+01,1.545014004012824183e+00
2.242839100592689761e+01,1.545014004012824183e+00
2.242933045437727912e+01,1.545014004012824183e+00
2.243026476121125157e+01,1.545014004012824183e+00
2.243119392978166360e+01,1.545014004012824183e+00
2.243211796344136033e+01,1.545014004012824183e+00
2.243303686554319043e+01,1.545014004012824183e+00
2.243395063944000611e+01,1.545014004012824183e+00
2.243485928848465250e+01,1.545014004012824183e+00
2.243576281602997824e+01,1.545014004012824183e+00
2.243666122542883201e+01,1.545014004012824183e+00
2.243755452003406603e+01,1.545014004012824183e+00
2.243844270319852185e+01,1.545014004012824183e+00
2.243932577827505170e+01,1.545014004012824183e+00
2.244020374861650424e+01,1.545014004012824183e+00
2.244107661757572814e+01,1.545014004012824183e+00
2.244194438850557205e+01,1.545014004012824183e+00
2.244280706475888110e+01,1.545014004012824183e+00
2.244366464968850750e+01,1.545014004012824183e+00
2.244451714664729636e+01,1.545014004012824183e+00
2.244536455898809990e+01,1.545014004012824183e+00
2.244620689006376324e+01,1.545014004012824183e+00
2.244704414322713859e+01,1.545014004012824183e+00
2.244787632183107107e+01,1.545014004012824183e+00
2.244870342922840933e+01,1.545014004012824183e+00
2.244952546877200206e+01,1.545014004012824183e+00
2.245034244381470145e+01,1.545014004012824183e+00
2.245115435770934909e+01,1.545014004012824183e+00
2.245196121380879717e+01,1.545014004012824183e+00
